Country,Alpha-2,Alpha-3,Continent,Etymologi
Myanmar,MM,MMR,Asia,"Named for the Burmans, the nation's largest ethnic group, a correction of 18th-century ""Bermah"" and ""Birma"", from Portuguese Birmania, probably from Barma in various Indian languages, ultimately from Burmese Bama (???), a colloquial oral version of the literary Myanma (??????),[144] the eventual pronunciation of the Old Burmese Mranma,[145] first attested in an 1102 Mon inscription as Mirma,[146] of uncertain etymology. It was not until the mid-19th century that King Mindon referred to his position as ""king of the Myanma people"",[147] as it was only during the Konbaung Dynasty that Burmans fully displaced the Mon within the Irrawaddy valley. The Indian name is alternatively derived from Brahmadesh (Sanskrit: ??????????), ""land of Brahma"".[citation needed] A folk etymology of Myanma derives it from myan (""fast"") and mar (""tough"", ""strong"").[citation needed] Myanmar, the present endonym: As above. The terminal r included in the official English translation arose from the nation's status as a former British colony and reflects non-rhotic accents such as Oxford English."
Namibia,NA,NAM,Africa,"From the coastal Namib Desert. Namib means ""area where there is nothing"" in the Nama language."
Nauru,NR,NRU,Oceania,"The name ""Nauru"" may derive from the Nauruan word Anáoero, which means ""I go to the beach"". The German settlers called the island Nawodo or Onawero."
Nepal,NP,NPL,Asia,"The name ""Nepal"" is derived from ""Nepa"" as mentioned in the historical maps of South Asia. ""Nepa"" literally means ""those who domesticate cattle"" in the Tibeto-Burman languages. The land was known by its people the Nepa or Nepar, Newar, Newa, Newal etc., who still inhabit the area i.e. the valley of Kathmandu and its surroundings. The Newa people use ""Ra"" and ""La"" or ""Wa"" and ""Pa"" interchangeably, hence the different names mentioned above."
Netherlands (the),NL,NLD,Europe,"Netherlands literally means Low countries or Lowlands. Dutch neder and its English cognate nether both mean 'down(ward), below'. The English word is now uncommon, mostly replaced by lower in English.[271] Neder or nether may simply have denoted the geographical characteristics of the land, both flat and down river. This may have applied to the singular form Nederland, or Niderland. It was a geographical description of low regions in the Germanic lands. Thus it was also used to refer specifically to the estuaries of the Scheldt, Meuse and Rhine, including the Lower Rhineland."
New Zealand,NZ,NZL,Oceania,"After the province of Zeeland in the Netherlands, which means ""sea land"", referring to the large number of islands it contains. Abel Tasman referred to New Zealand as Staten Landt, but later Dutch cartographers used Nova Zeelandia, in Latin, followed by Nieuw Zeeland in Dutch, which Captain James Cook later anglicised to New Zealand."
Nicaragua,NI,NIC,North_America,"A merger coined by the Spanish explorer Gil González Dávila after Nicarao, a leader of an indigenous community inhabiting the shores of Lake Nicaragua and agua, the Spanish word for ""water""; subsequently, the ethnonym of that native community."
Niger,NE,NER,Africa,"In English, Niger may be pronounced /?na?d??r/ or /ni?????r/. Named after the Niger River, from a native term Ni Gir or ""River Gir"" or from Tuareg n'eghirren (""flowing water"")."
Nigeria,NG,NGA,Africa,After the Niger river that flows through the western areas of the country and into the ocean and area.
North Korea,KP,PRK,Asia,"Self-descriptive, from its location in the northern portion of the Korean Peninsula. From ""Gaoli"", Marco Polo's Italian rendition of G?o Lí (Chinese: ??), the Chinese name for Goryeo (918–1392), which had named itself after the earlier Goguryeo (37 BC–AD 668). The original name was a combination of the adjective go (?; ?) meaning ""lofty"" and a local Yemaek tribe, whose original name is thought to have been either Guru (??, ""walled city"") or Gauri (???, ""center"")."
Norway,NO,NOR,Europe,"From the Old Norse norðr and vegr, ""northern way"". Norðrvegr refers to long coastal passages from the western tip of Norway to its northernmost lands in the Arctic."
Oman,OM,OMN,Asia,"Etymology uncertain. It seems to be related to Pliny the Elder's Omana[280] and Ptolemy's Omanon (?????? ????????),[281] both probably the ancient Sohar.[282] The city or region is typically etymologized in Arabic from aamen or amoun (""settled"" people, as opposed to the bedouin),[282] although a number of eponymous founders have been proposed (Oman bin Ibrahim al-Khalil, Oman bin Siba' bin Yaghthan bin Ibrahim, Oman bin Qahtan, and the Biblical Lot) and others derive it from the name of a valley in Yemen at Ma'rib presumed to have been the origin of the city's founders, the Azd, a tribe migrating from Yemen."
Pakistan,PK,PAK,Asia,"The name Pakistan literally means ""Land of the Pure"" in Urdu and Persian. It was coined in 1933 as Pakstan by Choudhry Rahmat Ali, a Pakistan Movement activist, who published it in his pamphlet Now or Never,[284] using it as an acronym (""thirty million Muslim brethren who live in PAKSTAN"") referring to the names of the five northwestern regions of the Indian Empire: Punjab, Afghania, Kashmir, Sindh, and Baluchistan"".[285][286][287] The letter i was incorporated to ease pronunciation and form the linguistically correct and meaningful name."
Palau,PW,PLW,Oceania,"From the native name Belau (""Palau""), traditionally derived from Palauan aidebelau (""indirect replies""), in reference to the island's creation story involving the destruction of the giant Chuab."
Palestine,PS,PSE,Asia,"The English word Palestine is derived from the Latin Palestina (""Roman Province of Palestine""), which is derived from the Ancient Greek ?????????? (Palaistine, ""Philistia and surrounding regions""), which is in turn derived from the Hebrew ???? (Pelesheth, ""land of the Philistines"")"
Panama,PA,PAN,North_America,"After a former village near the modern capital, Panama City. From the Cueva language meaning ""place of abundance of fish"" or ""place of many fish"", possibly from the Caribe ""abundance of butterflies"", or possibly from another native term referring to the Panama tree."
Papua New Guinea,PG,PNG,Oceania,"The country acquired its name in the 19th century. The word ""Papua"" derives from Malay papuah describing the hair styles found in Papuan cultures. ""New Guinea"" comes from the Spanish explorer Yñigo Ortiz de Retez, who noted the resemblance of the local people to those he had earlier seen along the Guinea coast of Africa."
Paraguay,PY,PRY,South_America,"The exact meaning of the word ""Paraguay"" is unknown, though it seems to derive from the river of the same name. One of the most common explanations is that it means ""water of the Payagua (a native tribe)"". Another meaning links the Guarani words para (""river"") and guai (""crown""), meaning ""crowned river"". A third meaning may be para (""river""), gua (""from""), y (""water"") meaning ""water that comes from the river"", referring to the bog in the north of the country, which is actually in Brazil."
Peru,PE,PER,South_America,"The exact meaning behind the word ""Peru"" is obscure. The most popular theory derives it from the native word biru, meaning ""river"" (compare with the River Biru in modern Ecuador). Another explanation claims that it comes from the name of the Indigenous chieftain Beru. Spanish explorers asked him the name of the land, but not understanding their language, he assumed they wanted his own name, which he gave them. Another possible origin is pelu, presumptively an old native name of the region."
Philippines,PH,PHL,Asia,"""Lands of Prince Philip of Asturias"", from the Spanish Felipinas, honoring the future King Philip II of Spain, bestowed on the islands of Leyte and Samar by the explorer Ruy López de Villalobos in 1543 and later extended to refer to the entire archipelago. Philip's name itself is Greek (????????, Phílippos) and means ""lover of horses""."
Poland,PL,POL,Europe,"""Land of Polans"", the territory of the tribe of Polans (Polanie). When the Polans formed a united Poland in the 10th century, this name also came into use for the whole Polish country. The name ""Poland"" (Polska) expressed both meanings until, in the 13th/14th century, the original territory of the Polans became known as Greater Poland (Wielkopolska) instead. The name of the tribe comes probably from Polish pole: ""field"" or ""open field"""
Portugal,PT,PRT,Europe,"From medieval Romance Portucale, from Latin Portus Cale (modern Porto and Gaia). Portus is the Latin for ""port"", but the meaning of Cale is debated. Some derive it from the Greek kallis (??????, ""beautiful"") or the Latin cal?re (""to heat""). It likely was related to the Gallaeci, a Celtic people who lived nearby north of the Douro River in pre-Roman times. The etymology of their name is also unknown, but may have been related to the divine hag Cailleach."
Qatar,QA,QAT,Asia,"Derives from Qatara, believed to refer to the Qatari town of Zubara, an important trading port and town in the region in ancient times. The word ""Qatara"" first appeared on Ptolemy's map of the Arab world. In the early 20th century, English speakers often pronounced Qatar as ""Cutter"", close to the local pronunciation in Qatar. However, the traditional English pronunciation (""Kuh-tahr"") has prevailed."
Republic of North Macedonia,MK,MKD,Europe,"The country name (Macedonian: ??????????/ Makedonija) is from the Greek word ????????? (Makedonía),[275][276] a kingdom (later, region) named after the ancient Macedonians. Their name, ????????? (Makedónes), derives ultimately from the ancient Greek adjective ???????? (makednós), meaning ""tall, taper"",[277] which shares the same root as the noun ?????? (mákros), meaning ""length"" in both ancient and modern Greek.[278] The name is originally believed to have meant either ""highlanders"" or ""the tall ones"".[279] The provisional term ""the former Yugoslav Republic of Macedonia"" was used in many international contexts in acknowledgment of a political dispute with Greece over the historical legitimacy of the country's use of the name. In February 2019, the country renamed itself to the Republic of North Macedonia."
Republic of the Congo,CG,COG,Africa,"""[Land beside] the Congo River"", adopted by the country upon independence in 1960 from the previous French autonomous colony Republic of the Congo (French: République du Congo) established in 1958, ultimately from the name of the original French colony French Congo (Congo français) established in 1882. The river itself derived its name from Kongo, a Bantu kingdom which occupied its mouth around the time of its discovery by the Portuguese in 1483[180] or 1484[181] and whose name derived from its people, the Bakongo, an endonym said to mean ""hunters"""
Romania,RO,ROU,Europe,"""Roman Realm"". The Roman Empire conquered a large part of the country, and the inhabitants became Romanized (Romanians). Older variants of the name include Rumania and (in a French-influenced spelling) Roumania. The term român (the ethnic group of Romanians) comes from the Latin term romanus, which means Roman, so the name Romania was adopted to accentuate the Latin origin of Romanian people and language. The term was first used during the leadership of Carol I, whose 1866 constitution declared Romania the country's official name."
Russian Federation (the),RU,RUS,Europe,"from Rosia or Rossiya, from the Byzantine Greek R?sía (?????), meaning ""Land of the R?s"" (???).[299] Generally agreed to be from a Varangian group known as the Rus', named after the Roslagen region in Sweden, ultimately from Old Norse rods-, ""row"" or ""rower"". Within Russia, Soviet scholarship depreciated Kievan Rus's Scandinavian origin in favor of Slavic ones, offering a variety of other pseudoetymologies. See also Sweden below."
Rwanda,RW,RWA,Africa,"""Large or big"", from the Kinyarwanda kwanda (""expand""),[300] as eventually applied to the Tutsi Nyiginya mwamis descended from Ruganzu Ndori[301] or the speakers of Kinyarwanda. Rwanda means a big country. Historically Rwanda expanded from Gasabo (a tiny locality near Lake Muhazi) to the entire territory as it was known before the Berlin conference. Rwanda's zone of influence expanded to southern parts of Uganda, western parts of Tanzania and eastern part of the Democratic Republic of Congo (DRC)."
Saint Lucia,LC,LCA,North_America,"""Saint Lucy"" in Latin, for the shipwreck upon the island of French sailors on St. Lucy's Day, 13 December 1502."
Samoa,WS,WSM,Oceania,"""Holy Center"", from a compound of the Samoan sa (""sacred"") and moa (""center""). The name is alternatively derived from a local chieftain named Samoa[citation needed] or an indigenous word meaning ""place of the moa"", a now-extinct bird."
Sao Tome and Principe,ST,STP,Africa,"""Saint Thomas"" in Portuguese, for its discovery on St. Thomas Day, 21 December 1470 or 1471."
Saudi Arabia,SA,SAU,Asia,"Named after House of Saud, the ruling dynasty of the country. The dynasty itself took its name from its patriarch Saud (Arabic: Sa`ûd), whose name means “Happiness”. Arabia itself from the Latin name, of uncertain though probably Semitic etymology, although as early as Ancient Egypt the region was known as Ar Rabi."
Senegal,SN,SEN,Africa,"From the Senegal river. After a Portuguese variant of the name of the Berber Zenaga (Arabic Senhaja) tribe, which dominated much of the area to the north of modern Senegal, i.e. present-day Mauritania."
Serbia,RS,SRB,Europe,The exact origin of the name is uncertain (see Names of the Serbs and Serbia). The name of the Sorbs in present-day Germany has the same origin.
Seychelles,SC,SYC,Africa,"Named after Jean Moreau de Séchelles, Finance Minister to King Louis XV of France from 1754 to 1756."
Sierra Leone,SL,SLE,Africa,"""Lion Mountains"". (Terra Leone) Adapted from Sierra Leona, the Spanish version of the Portuguese Serra Leoa. The Portuguese explorer Pedro de Sintra named the country after the striking mountains that he saw in 1462 while sailing the West African coast. It remains unclear what exactly made the mountains look like lions. Three main explanations exist: that the mountains resembled the teeth of a lion, that they looked like sleeping lions, or that thunder which broke out around the mountains sounded like a lion's roar."
Singapore,SG,SGP,Asia,"""Lion City"", from Singapura (in Malay) derives from Sanskrit word simhapura (Sanskrit: ???????). Singapore is the anglicized form of the Malay name, which is still in use today,[303] along with variants in Chinese and Tamil. The lion, or what became the legendary Merlion, usually depicts Sang Nila Utama's discovery of the island Temasek, from Malay or Javanese root tasik, meaning lake."
Slovakia,SK,SVK,Europe,"From the Slavic ""Slavs"". The origin of the word Slav itself remains uncertain."
Slovenia,SI,SVN,Europe,"""Land of the Slavs"" in Slovene and other South Slavic languages. The etymology of Slav itself remains uncertain. Some etymologists believe that the part -ven refers to the ancient Germanic tribes of the Venetii who supposedly also gave their name to the city of Venice."
Solomon Islands,SB,SLB,Oceania,"Named for the Biblical King Solomon by the Spanish explorer Alvaro de Mendaña y Neyra in 1567 or 1568. The name was bestowed after the legendary wealth of King Solomon's mines, which Mendaña y Neyra hoped to find."
Somalia,SO,SOM,Africa,"""Land of the Somali"". Somali itself is of uncertain etymology, although some have proposed a derivation from sac maal (""cattle herders"") or a legendary patriarch named Samaale."
South Africa,ZA,ZAF,Africa,"Suid-Afrika, a local endonym: ""South Africa"" in Afrikaans"
South Korea,KR,KOR,Asia,"From ""Gaoli"", Marco Polo's Italian rendition of G?o Lí (Chinese: ??), the Chinese name for Goryeo (918–1392), which had named itself after the earlier Goguryeo (37 BC–AD 668). The original name was a combination of the adjective go (?; ?) meaning ""lofty"" and a local Yemaek tribe, whose original name is thought to have been either Guru (??, ""walled city"") or Gauri (???, ""center""). South Koreans call Korea Hanguk (??), an early 20th century neologism derived from the name ""Samhan"", referring to the Three Kingdoms of Korea."
South Sudan,SS,SSD,Africa,"Self-descriptive, from its former position within Sudan before independence in 2011. For the etymology of Sudan, see Sudan below."
Spain,ES,ESP,Europe,"""Island of Hyraxes"", from Norman French Spagne, from the Latin Hispania, from the Punic ?Î-š?p?nîm (?? ?????), probably from mistaking rabbits for the African hyrax."
Sri Lanka,LK,LKA,Asia,"""Holy Island"", from Sanskrit Sri (????, ""holy"", ""resplendent"") and Lanka (????, ""island""). ""Lanka"" was also the name of the capital of King Ravana in the sanskrit epic Ramayana."
Sudan,SD,SDN,Africa,"""Land of the Black people"", from the Arabic bilad as-sudan (???? ???????), which originally[citation needed] referred to most of the Sahel region."
Suriname,SR,SUR,South_America,"After the Surinen people, the earliest known native American inhabitants of the region."
Swaziland,SZ,SWZ,Africa,"""Land of the Swazi"", an ethnic group. The name Swazi itself derives from Mswati II, a former king of Swaziland."
Sweden,SE,SWE,Europe,"""Swedes"", an old English plural form of Swede.[citation needed] From the Old English Sweoðeod, the Old Norse Sviþjoð. The etymology of the first element, Svi, links to the PIE *suos (""one's own"", ""of one's own kin""). The last element, þjoð, means ""people"", cognate with deut in Deutsch and teut in Teutons."
Switzerland,CH,CHE,Europe,"From the toponym Schwyz first attested AD 972 as Suittes, derived from an Alemannic proper name Suito."
Syria,SY,SYR,Asia,"Meaning unknown. From the Ancient Greek Syria (?????). Probably related to syriac. Syriac people descend from big old ""Syria"" which involved modern Syria, Lebanon, south of modern Turkey and north of current Iraq."
Tajikistan,TJ,TJK,Asia,"""Home of the Tajiks"", a Persian-speaking ethnic group, with the suffix -stan. Sogdian T?j?k (j pronounced /?/) was the local pronunciation of New Persian T?z?, from Sassanian Persian T?z?g, derived from the Tayy tribe and meaning ""Arab"". The Tajiks were New Persian–speaking Muslims, although not necessarily Arabs.[307] (An alternate etymology[citation needed] is via Tibetan Tag Dzig, meaning ""Persian"" and ""tiger"" or ""leopard"".)"
Tanzania,TZ,TZA,Africa,"""Land of Tanganyika and Zanzibar"", a blend and simplification of the original name – ""United Republic of Tanganyika and Zanzibar"" – assumed upon independence in 1964"
Thailand,TH,THA,Asia,"""Land of the Thai"" (Thai: ???), an ethnic group from the central plains (see Tai peoples). The name Tai itself (??) is of uncertain etymology, although it has been argued to have originally meant ""people"" or ""human being"" since some rural areas use the word in this way as opposed to the normal Thai word khon (??).[310] A more common pseudoetymology derives the demonym from the word thai (??) meaning ""freedom""."
Togo,TG,TGO,Africa,"""By the water""[312] or ""behind the sea"",[313] derived from Ewe to (""water"") and go (""shore""). Originally it just referred to the town of Togo (now Togoville), later the Germans extended the name to the whole nation."
Tonga,TO,TON,Oceania,"""South"" or ""Southern"" in Samoan, in reference to their position relative to Samoa."
Trinidad and Tobago,TT,TTO,North_America,"Trinidad, from Spanish La Isla de la Trinidad (""Island of the Holy Trinity""). The name was bestowed by Christopher Columbus to fulfill a vow he had made before setting out on his third voyage.[314] Tobago, of uncertain etymology, but probably from the tobacco grown and smoked by the natives."
Tunisia,TN,TUN,Africa,"""Land of Tunis"", its capital.[315] Tunis's name possibly derives from the Phoenician goddess Tanith,[316] the ancient city of Tynes,[317] or the Berber ens, meaning ""to lie down"" or ""to rest""."
Turkey,TR,TUR,Asia,"""Land of the Turks"", Latin Turcia and Arabic Turkiyye, an ethnic group whose name derives from their endonym Türk (""created"")."
Turkmenistan,TM,TKM,Asia,"""Home (st?n) of the Turkmens"", an ethnic group whose name derives from the Sogdian Türkmen (""Turk-like""), in reference to their status outside the Turkic dynastic mythological system.[324] However, modern scholars sometimes prefer to see the suffix as an intensifier, changing the meaning to ""pure Turk"" or ""most Turk-like of the Turks"".[325] Muslim chroniclers such as Ibn-Kathir advocated a pseudoetymology from Türk and iman (Arabic: ?????, ""faith, belief"") in reference to a mass conversion of two hundred thousand households in 971 (AH 349)."
Uganda,UG,UGA,Africa,"Uganda is named after the Buganda Kingdom which occupies the central region of the country. The word ""Buganda"" is derived from ""omuganda"" which means ""a bundle"" or ""united as in a bundle"" in the Buganda language. The ""Bu-"" prefix in Buganda means ""land"" pronounced with a soft ""b"" sound. In Swahili it became ""Uganda"" as Swahili does not have a soft ""b"" sound. The final pronunciation of Uganda is the English pronunciation. So ""Uganda"" actually means ""land of the united peoples""."
Ukraine,UA,UKR,Europe,"""Land, country"" from the Slavic kraj or krajna ""Ruthenia"""
United Arab Emirates,AE,ARE,Asia,"Self-descriptive, from the Arabic. For Arabia, see Saudi Arabia above. ""Emirate"" from ""emir"", Arabic."
United Kingdom of Great Britain and Northern Ireland (the),GB,GBR,Europe,"Self-descriptive; short-form name of ""United Kingdom of Great Britain and Northern Ireland"", in reference to the island of Great Britain and the country of Northern Ireland. Adopted in 1927 from the realm's previous name, the United Kingdom of Great Britain and Ireland, following the 1922 creation of the Irish Free State (present-day Ireland)."
United States of America,US,USA,North_America,"Self-descriptive, although note that – similar to the original ""united Kingdom of Great Britain"" above – the U.S. Declaration of Independence described the new nation as the (lower-case) ""united States of America"". The adjective had become a part of the name by the time of the adoption of the United States Constitution, however, whose preamble describes the ""United States"". Similarly, the grammatical number of the name has changed over time: common usage before the American Civil War was to reference ""these United States""[citation needed] whereas modern usage has ""the United States""."
Uruguay,UY,URY,South_America,"""Land beside the Uruguay River"", a shortened form of the Spanish Republica Oriental del Uruguay (""Eastern Republic of Uruguay""). The word Uruguay itself derives from Guaraní, although the precise meaning is unknown. Some derive it from urugua (""shellfish"") and i (""water""), others from uru (a kind of bird in the region), gua (""proceed from""), and i."
Uzbekistan,UZ,UZB,Asia,"""Home of the Free"", from an amalgamation of uz (Turkic: ""self""), bek (Turkic: ""master"", ""bey in modern Turkish""), and -stan (Persian: ""land of"")."
Vanuatu,VU,VUT,Oceania,"""Our Land"", in Bislama"
Venezuela,VE,VEN,South_America,"""Little Venice"", from Italian Venezuola, the diminutive of Venezia (Italian: ""Venice""), for the native stilt-houses built on Lake Maracaibo which reminded the explorers Alonso de Ojeda and Amerigo Vespucci of buildings in Venice."
Vietnam,VN,VNM,Asia,"""Viet South"" (Vietnamese: Vi?t Nam), an inversion of Nam Vi?t (??), the name of the 2nd-century BC kingdom.[329] The qualifier nam (south) was added to distinguish this kingdom from other Viet, or Yue, kingdoms, such as Minyue. The word ""Viet"" is a shortened form of Bách Vi?t (Chinese: ??; pinyin: B?iyuè), which in early usage applied to a people in Guangdong.[330] Ancient historian Sima Qian wrote that Wu Qi of Chu went ""south to suppress the Bai Yue"" in 368 B.C.[330][331] The first recorded usage is in the Chinese encyclopedia Lüshi Chunqiu, compiled around 239 B.C.[332] After Vietnam gained independence in 938, several variations on the word Viet, including ""Nam Viet"" and ""Dai Viet"" (Great Viet), were used officially. The name ""Vietnam"" is first recorded in a 16th-century poem by Nguyen Binh Khiem.[333] In the 19th and early 20th centuries, the country was usually referred to as Annam (""Pacified South"", ?). ""Vietnam"" was revived by Phan B?i Châu's book Vi?t Nam vong qu?c s? (History of the Loss of Vietnam), published in 1905, and later by the Viet Quoc, a nationalist party which organized the Yen Bai mutiny against the French colonial authorities in 1930.[334] In 1945, the name was adopted officially by both Bao Dai's imperial government in Hue and by Ho Chi Minh's Viet Minh government in Hanoi."
Western Sahara,EH,ESH,Africa,"Western Sahara, the name of the territory it claims: After its geographic position. ""Sahara"" derives from the Arabic a?-?a?r?' (???????), meaning ""desert""."
Yemen,YE,YEM,Asia,"Uncertain etymology, most probably from Arabic ymn (???). Some claim[citation needed] it comes from yam?n (?????, ""right-hand side"" in the sense of ""south""[335]). Others[citation needed] that it comes from the form yumn (?????, ""happiness"") and is related to the region's classical name Arabia Felix."
Zambia,ZM,ZMB,Africa,"""Land of the Zambezi"", which flows through the east of the country and also forms its border with Zimbabwe."
Zimbabwe,ZW,ZWE,Africa,"""House of Stones"", Dzimba-dze-mabwe in Shona,[citation needed] in reference to Great Zimbabwe."
